conceptA,conceptB,isPrerequisite,dataset,file,conceptA_ind,conceptB_ind,fileB
0.0,10.0,0,al_cpl,al_cpl,491,427,al_cpl
0.0,656.0,1,al_cpl,al_cpl,491,438,al_cpl
0.0,928.0,0,al_cpl,al_cpl,491,451,al_cpl
0.0,1574.0,1,al_cpl,al_cpl,491,483,al_cpl
0.0,386.0,1,al_cpl,al_cpl,491,76,al_cpl
0.0,1202.0,1,pseudo,al_cpl,82,504,drive
0.0,80.0,0,pseudo,al_cpl,82,483,drive
1.0,1202.0,0,drive,drive,82,504,drive
1.0,791.0,0,drive,drive,82,478,drive
1.0,743.0,1,drive,drive,82,480,drive
1.0,1448.0,0,drive,drive,82,512,drive
1.0,80.0,0,drive,drive,82,483,drive
